Name	Anlageklasse	Gewichtung (%)	Kurs	Nominale	Marktwert	Nominalwert	Sektor	ISIN	Börse	Country	Weighting
KRUNG THAI BANK PUBLIC NON-VOTING	Aktien	0,02	0,35	893900	311543	311543,09	Financials	TH0150010R11	Stock Exchange Of Thailand	Thailand	0.000189102820533463
KOSSAN RUBBER INDUSTRIES	Aktien	0,02	0,91	340700	310328	310327,52	Gesundheitsversorgung	MYL7153OO009	Bursa Malaysia	Malaysia	0.000188364984507134
LOTTE SHOPPING LTD	Aktien	0,02	107,93	2861	308792	308791,71	Zyklische Konsumgüter 	KR7023530009	Südkorea Exchange (Stock Market)	Südkorea	0.00018743276674296
Volksrepublik China EVERBRIGHT BANK LTD H	Aktien	0,02	0,42	741000	308557	308556,95	Financials	CNE100001QW3	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000187290270312857
BGF RETAIL LTD	Aktien	0,02	163,91	1870	306516	306516,19	Nichtzyklische Konsumgüter	KR7282330000	Südkorea Exchange (Stock Market)	Südkorea	0.00018605155411462
XINJIANG GOLDWIND SCIENCE AND TECH	Aktien	0,02	1,66	184564	305511	305510,84	Industrie	CNE100000PP1	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000185441319040482
CARABAO GROUP PCL SHS NON-VOTING D	Aktien	0,02	4,19	72800	304934	304933,65	Nichtzyklische Konsumgüter	TH6066010R13	Stock Exchange Of Thailand	Thailand	0.000185090971815693
SANY HEAVY EQUIPMENT INTERNATIONAL	Aktien	0,02	1,12	267000	299464	299464,34	Industrie	KYG781631059	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000181771167972918
HAP SENG CONSOLIDATED	Aktien	0,02	1,95	153200	298013	298012,6	Industrie	MYL3034OO005	Bursa Malaysia	Malaysia	0.000180889979663843
Volksrepublik China SOUTHERN AIRLINES LTD H	Aktien	0,02	0,69	432000	296842	296842,15	Industrie	CNE1000002T6	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000180179530922086
MMG LTD	Aktien	0,02	0,51	584000	296636	296635,88	Materialien	HK1208013172	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000180054327571271
KAISA GROUP HOLDINGS LTD	Aktien	0,02	0,43	679999	295429	295428,77	Immobilien	KYG521321003	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000179321626660799
GLOBE TEL INC	Aktien	0,02	38,54	7650	294847	294847,09	Kommunikation	PHY272571498	Philippine Stock Exchange Inc.	Philippinen	0.000178968554061282
RLX TECHNOLOGY AMERICAN DEPOSITARY	Aktien	0,02	9,9	29617	293208	293208,3	Nichtzyklische Konsumgüter	US74969N1037	New York Stock Exchange Inc.	Volksrepublik China	0.000177973828704793
POLY PROPERTY SERVICES LTD H	Aktien	0,02	7,48	39200	293109	293108,67	Immobilien	CNE100003PV3	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000177913354521238
AGILE GROUP HOLDINGS LTD	Aktien	0,02	1,38	212000	292438	292438,3	Immobilien	KYG011981035	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000177506448183495
GUDANG GARAM	Aktien	0,02	2,33	125300	292323	292322,84	Nichtzyklische Konsumgüter	ID1000068604	Indonesia Stock Exchange	Indonesien	0.000177436365384808
PEARLABYSS CORP	Aktien	0,02	51,41	5648	290380	290380,4	Kommunikation	KR7263750002	Südkorea Exchange (Kosdaq)	Südkorea	0.000176257328216251
JOLLIBEE FOODS CORP	Aktien	0,02	4,06	71140	289090	289090,07	Zyklische Konsumgüter 	PHY4466S1007	Philippine Stock Exchange Inc.	Philippinen	0.000175474113790218
CJ CORP	Aktien	0,02	99,42	2885	286833	286833,27	Industrie	KR7001040005	Südkorea Exchange (Stock Market)	Südkorea	0.000174104263971434
BURNING ROCK BIOTECH ADR REPRESENT	Aktien	0,02	26,89	10596	284926	284926,44	Gesundheitsversorgung	US12233L1070	NASDAQ	Volksrepublik China	0.000172946841634518
HUANENG POWER INTERNATIONAL INC H	Aktien	0,02	0,38	756000	284590	284589,75	Versorger	CNE1000006Z4	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000172742474949173
SSY GROUP LTD	Aktien	0,02	0,67	426000	284481	284481,46	Gesundheitsversorgung	KYG8406X1034	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000172676744252224
ANEKA TAMBANG	Aktien	0,02	0,17	1670300	283933	283933,47	Materialien	ID1000106602	Indonesia Stock Exchange	Indonesien	0.000172344121067983
BANGKOK COMMERCIAL ASSET MANAGEMEN	Aktien	0,02	0,59	477300	283862	283861,87	Financials	TH9479010R15	Stock Exchange Of Thailand	Thailand	0.000172300660749379
SHANDONG GOLD MINING LTD H	Aktien	0,02	2,06	137250	282397	282396,85	Materialien	CNE1000036N7	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00017141141164378
Volksrepublik China POWER INTERNATIONAL DEVELOPM	Aktien	0,02	0,25	1122000	282060	282060,37	Versorger	HK2380027329	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00017120717242585
Volksrepublik China EAST EDUCATION HOLDINGS LTD	Aktien	0,02	2,06	136500	281558	281557,59	Zyklische Konsumgüter 	KYG2120T1004	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000170901991155074
DALI FOODS GROUP LTD	Aktien	0,02	0,63	449000	280739	280738,96	Nichtzyklische Konsumgüter	KYG2743Y1061	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000170405092822412
ZHAOJIN MINING INDUSTRY LTD H	Aktien	0,02	1,04	270000	279856	279855,87	Materialien	CNE1000004R6	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000169869068063253
PHARMARON BEIJING LTD A	Aktien	0,02	29,05	9600	278923	278922,73	Gesundheitsversorgung	CNE100003JW4	Shenzhen Stock Exchange	Volksrepublik China	0.00016930266357021
FLAT GLASS GROUP LTD H	Aktien	0,02	2,82	98000	276053	276052,78	IT	CNE100002375	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000167560639249304
CHONGQING RURAL COMMERCIAL BANK LT	Aktien	0,02	0,42	656000	273162	273162,43	Financials	CNE100000X44	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000165806232379523
SHENZHEN INVESTMENT LTD	Aktien	0,02	0,35	770000	270999	270999,18	Immobilien	HK0604011236	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000164493166259138
TRUE CORPORATION NON-VOTING DR PCL	Aktien	0,02	0,1	2682990	269371	269371,34	Kommunikation	TH0375010R14	Stock Exchange Of Thailand	Thailand	0.000163505087417854
GT CAPITAL HOLDINGS INC	Aktien	0,02	12,16	21996	267463	267462,88	Industrie	PHY290451046	Philippine Stock Exchange Inc.	Philippinen	0.000162346675691004
SHANGHAI LUJIAZUI FINANCE & TRADE	Aktien	0,02	0,94	279816	262467	262467,41	Immobilien	CNE000000HH6	Shanghai Stock Exchange	Volksrepublik China	0.000159314486895257
Volksrepublik China OVERSEAS PROPERTY HOLDINGS L	Aktien	0,02	1,04	250000	260415	260414,99	Immobilien	KYG2118M1096	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000158068693220554
ONENESS BIOTECH LTD	Aktien	0,02	7,43	35000	260195	260194,88	Gesundheitsversorgung	TW0004743000	Gretai Securities Market	Taiwan	0.000157935089160109
MERITZ SECURITIES LTD	Aktien	0,02	4,08	63560	259034	259033,54	Financials	KR7008560005	Südkorea Exchange (Stock Market)	Südkorea	0.000157230170076209
LEE & MAN PAPER MANUFACTURING LTD	Aktien	0,02	0,83	308000	256109	256109,12	Materialien	KYG5427W1309	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000155455083135829
HUYA ADR INC	Aktien	0,02	14,86	17221	255904	255904,06	Kommunikation	US44852D1081	New York Stock Exchange Inc.	Volksrepublik China	0.000155330614240119
Volksrepublik China RESOURCES PHARMACEUTICAL GRO	Aktien	0,02	0,7	362000	253410	253409,57	Gesundheitsversorgung	HK0000311099	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000153816489517299
Volksrepublik China COMMUNICATIONS SERVICES CORP	Aktien	0,02	0,44	570000	249109	249108,85	Industrie	CNE1000002G3	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000151206005419178
JIANGSU EXPRESSWAY LTD H	Aktien	0,01	1,21	196000	237772	237771,78	Industrie	CNE1000003J5	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000144324543488549
Volksrepublik China HUARONG ASSET MANAGEMENT LTD	Aktien	0,01	0,1	2405000	237187	237187,13	Financials	CNE100002367	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000143969668135593
WESTPORTS HOLDINGSINARY	Aktien	0,01	1,04	215500	224479	224479,17	Industrie	MYL5246OO003	Bursa Malaysia	Malaysia	0.000136256092850625
FRASER & NEAVE HOLDINGS	Aktien	0,01	6,5	34400	223500	223500	Nichtzyklische Konsumgüter	MYL3689OO006	Bursa Malaysia	Malaysia	0.000135661748714211
ZHENRO PROPERTIES GROUP LTD	Aktien	0,01	0,61	364000	223369	223369,02	Immobilien	KYG9897E1098	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000135582245466576
GREENTOWN Volksrepublik China LTD	Aktien	0,01	1,15	194000	222340	222340,25	Immobilien	KYG4100M1050	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000134957794740738
VINDA INTERNATIONAL LTD	Aktien	0,01	3,36	64000	214933	214932,61	Nichtzyklische Konsumgüter	KYG9361V1086	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000130461448448813
ZHEJIANG EXPRESSWAY LTD H	Aktien	0,01	0,85	234000	199101	199101,44	Industrie	CNE1000004S4	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000120852123140571
Volksrepublik China BOHAI BANK LTD H H	Aktien	0,01	0,42	471000	196127	196127,29	Financials	CNE100003YB7	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000119046850702368
NINGXIA BAOFENG ENERGY GROUP LTD A	Aktien	0,01	2,16	89100	192751	192751,18	Materialien	CNE100003LF5	Shanghai Stock Exchange	Volksrepublik China	0.000116997593492294
SHENZHEN MINDRAY BIO-MEDICAL ELECT	Aktien	0,01	75,79	2500	189486	189485,55	Gesundheitsversorgung	CNE100003G67	Shenzhen Stock Exchange	Volksrepublik China	0.000115015396282211
ZHEJIANG SATELLITE PETROCHEMICAL L	Aktien	0,01	5,23	35620	186119	186119,36	Materialien	CNE100001B07	Shenzhen Stock Exchange	Volksrepublik China	0.000112972160390022
LUCKY CEMENT LTD	Aktien	0,01	5,92	31207	184865	184864,52	Materialien	PK0071501016	Karachi Stock Exchange (Guarantee) Limited	Pakistan	0.000112210487957107
DOUYU INTERNATIONAL HOLDINGS ADR L	Aktien	0,01	7,33	24089	176572	176572,37	Kommunikation	US25985W1053	NASDAQ	Volksrepublik China	0.000107177254983502
HUAFON CHEMICAL LTD A	Aktien	0,01	2,02	86200	174064	174063,73	Materialien	CNE000001NK6	Shenzhen Stock Exchange	Volksrepublik China	0.00010565454138487
Volksrepublik China CSSC HOLDINGS LTD A	Aktien	0,01	2,63	65100	170995	170995,33	Industrie	CNE000000W05	Shanghai Stock Exchange	Volksrepublik China	0.000103792060356884
CANSINO BIOLOGICS INC A	Aktien	0,01	88,6	1806	160009	160009,39	Gesundheitsversorgung	CNE100004BM0	Shanghai Stock Exchange	Volksrepublik China	0.0000971237300138446
JIANGSU EASTERN SHENGHONG LTD A	Aktien	0,01	2,66	57000	151772	151771,58	Materialien	CNE0000012K6	Shenzhen Stock Exchange	Volksrepublik China	0.0000921234807513147
HUIZHOU DESAY SV AUTOMOTIVE LTD A	Aktien	0,01	16,5	9200	151789	151788,8	Zyklische Konsumgüter 	CNE1000033C7	Shenzhen Stock Exchange	Volksrepublik China	0.0000921339330793365
HABIB BANK LTD	Aktien	0,01	0,86	170230	147171	147171,2	Financials	PK0085101019	Karachi Stock Exchange (Guarantee) Limited	Pakistan	0.0000893311067220088
SRI TRANG GLOVES (THAILAND) PCL NV	Aktien	0,01	1,41	104400	146878	146877,7	Gesundheitsversorgung	TH9829010R11	Stock Exchange Of Thailand	Thailand	0.0000891529558349948
MCB BANK LTD	Aktien	0,01	1,07	123386	132008	132008,06	Financials	PK0055601014	Karachi Stock Exchange (Guarantee) Limited	Pakistan	0.0000801272674003156
METRO PACIFIC INV CORP	Aktien	0,01	0,08	1508300	127956	127955,91	Financials	PHY603051020	Philippine Stock Exchange Inc.	Philippinen	0.0000776676622322965
HONG LEONG FINANCIAL GROUP	Aktien	0,01	4,33	25700	111192	111192,34	Financials	MYL1082OO006	Bursa Malaysia	Malaysia	0.0000674923816019023
ICICI BANK ADR REP LTD	Aktien	0,01	17,93	5998	107544	107544,14	Financials	US45104G1040	New York Stock Exchange Inc.	Indien	0.0000652779691112572
OSOTSPA PCL NON-VOTING DR	Aktien	0,01	1,18	77800	91420	91419,66	Nichtzyklische Konsumgüter	TH8752010R16	Stock Exchange Of Thailand	Thailand	0.0000554906082436629
PERENNIAL ENERGY HOLDINGS LTD	Aktien	0	0,34	195000	66870	66869,93	Energie	KYG7011M1069	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.0000405892243409258
Volksrepublik China HUISHAN DAIRY HOLDINGS COMPA	Aktien	0	0	12127	0	0,02	Nichtzyklische Konsumgüter	KYG2117A1067	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.0000000000121397537999294
Volksrepublik China Common Rich Renewable Energy	Aktien	0	0	100500	0	0,13	IT	-	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.0000000000789083996995413
LEGEND HOLDINGS CORP H RIGHTS	Aktien	0	0	4069	0	0,01	IT	-	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00000000000606987689996472
